Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,54,0,Some Random Commen with Id 0
1,0,0,62,8,Some Random Commen with Id 1
2,0,0,156,3,Some Random Commen with Id 2
3,1,3,57,1,Some Random Commen with Id 3
4,1,3,183,4,Some Random Commen with Id 4
5,1,3,17,9,Some Random Commen with Id 5
6,1,3,170,8,Some Random Commen with Id 6
7,2,0,83,9,Some Random Commen with Id 7
8,2,0,192,5,Some Random Commen with Id 8
9,2,0,138,2,Some Random Commen with Id 9
10,2,0,6,5,Some Random Commen with Id 10
11,4,5,71,2,Some Random Commen with Id 11
12,4,5,176,1,Some Random Commen with Id 12
13,4,5,109,5,Some Random Commen with Id 13
14,5,8,63,8,Some Random Commen with Id 14
15,5,8,90,3,Some Random Commen with Id 15
16,5,8,153,6,Some Random Commen with Id 16
17,5,8,69,7,Some Random Commen with Id 17
18,5,8,147,8,Some Random Commen with Id 18
19,5,8,65,1,Some Random Commen with Id 19
20,5,8,0,6,Some Random Commen with Id 20
21,5,8,53,7,Some Random Commen with Id 21
22,6,2,28,6,Some Random Commen with Id 22
23,6,2,5,2,Some Random Commen with Id 23
24,6,2,173,2,Some Random Commen with Id 24
25,6,2,99,3,Some Random Commen with Id 25
26,6,2,105,6,Some Random Commen with Id 26
27,6,2,193,1,Some Random Commen with Id 27
28,6,2,192,4,Some Random Commen with Id 28
29,6,2,12,3,Some Random Commen with Id 29
30,7,8,106,0,Some Random Commen with Id 30
31,7,8,55,9,Some Random Commen with Id 31
32,7,8,59,3,Some Random Commen with Id 32
33,7,8,161,3,Some Random Commen with Id 33
34,7,8,188,1,Some Random Commen with Id 34
35,7,8,81,3,Some Random Commen with Id 35
36,8,6,148,4,Some Random Commen with Id 36
37,8,6,107,9,Some Random Commen with Id 37
38,8,6,60,8,Some Random Commen with Id 38
39,8,6,176,2,Some Random Commen with Id 39
40,8,6,120,8,Some Random Commen with Id 40
41,8,6,126,8,Some Random Commen with Id 41
42,8,6,129,1,Some Random Commen with Id 42
43,8,6,83,5,Some Random Commen with Id 43
44,8,6,84,3,Some Random Commen with Id 44
45,9,6,83,1,Some Random Commen with Id 45
46,9,6,159,8,Some Random Commen with Id 46
47,9,6,47,6,Some Random Commen with Id 47
48,9,6,172,5,Some Random Commen with Id 48
49,9,6,64,6,Some Random Commen with Id 49
50,9,6,128,8,Some Random Commen with Id 50
51,9,6,84,6,Some Random Commen with Id 51
52,9,6,165,2,Some Random Commen with Id 52
53,9,6,198,7,Some Random Commen with Id 53
54,10,1,150,3,Some Random Commen with Id 54
55,10,1,153,4,Some Random Commen with Id 55
56,10,1,31,5,Some Random Commen with Id 56
57,10,1,160,1,Some Random Commen with Id 57
58,10,1,157,9,Some Random Commen with Id 58
59,10,1,48,5,Some Random Commen with Id 59
60,11,5,105,4,Some Random Commen with Id 60
61,11,5,135,8,Some Random Commen with Id 61
62,11,5,11,6,Some Random Commen with Id 62
63,11,5,62,8,Some Random Commen with Id 63
64,12,7,72,0,Some Random Commen with Id 64
65,12,7,16,1,Some Random Commen with Id 65
66,13,8,62,8,Some Random Commen with Id 66
67,13,8,161,6,Some Random Commen with Id 67
68,13,8,94,4,Some Random Commen with Id 68
69,13,8,149,2,Some Random Commen with Id 69
70,13,8,80,9,Some Random Commen with Id 70
71,13,8,188,3,Some Random Commen with Id 71
72,13,8,76,3,Some Random Commen with Id 72
73,14,6,199,5,Some Random Commen with Id 73
74,14,6,173,6,Some Random Commen with Id 74
75,14,6,54,9,Some Random Commen with Id 75
76,14,6,110,4,Some Random Commen with Id 76
77,15,5,34,1,Some Random Commen with Id 77
78,15,5,96,6,Some Random Commen with Id 78
79,15,5,38,0,Some Random Commen with Id 79
80,15,5,119,3,Some Random Commen with Id 80
81,15,5,28,6,Some Random Commen with Id 81
82,15,5,24,6,Some Random Commen with Id 82
83,17,1,52,1,Some Random Commen with Id 83
84,17,1,87,2,Some Random Commen with Id 84
85,17,1,185,7,Some Random Commen with Id 85
